[2024-08-13 16:21:22,120] 35 root - INFO - creating response
[2024-08-13 16:21:27,630] 1026 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-13 16:21:29,168] 1026 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-13 16:21:29,173] 45 root - INFO - created resonse
[2024-08-13 16:21:29,176] 54 root - INFO - Total cost{cb.total_cost}
[2024-08-13 16:26:34,233] 112 root - INFO - creating response
[2024-08-13 16:26:37,822] 1026 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-13 16:26:40,788] 1026 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-13 16:26:40,792] 122 root - INFO - created resonse
[2024-08-13 16:26:40,794] 131 root - INFO - Total cost{cb.total_cost}
[2024-08-13 16:27:40,190] 112 root - INFO - creating response
[2024-08-13 16:27:46,279] 1026 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-13 16:27:49,046] 1026 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-08-13 16:27:49,051] 122 root - INFO - created resonse
[2024-08-13 16:27:49,054] 131 root - INFO - Total cost{cb.total_cost}
